#header,Name,Ozi ID,Ellipsoid,Delta X,Delta Y,Delta Z,PROJ4 definition,"comment"
datum,Reunion,86,International 1924,94,-948,-1262,,
datum,Rijksdriehoeksmeting,212,Bessel 1841,593,26,478,,
datum,Rome 1940,87,International 1924,-225,-65,9,,
datum,RT 90,112,Bessel 1841,498,-36,568,"+towgs84=414.0978567149,41.3381489658,603.0627177516,-0.8550434314,2.1413465185,-7.0227209516,0 +ellps=bessel"
datum,S42,213,Krassovsky 1940,28,-121,-77,,
datum,Santo (DOS),88,International 1924,170,42,84,,
datum,Sao Braz,89,International 1924,-203,141,53,,
datum,Sapper Hill 1943,90,International 1924,-355,16,74,,
datum,Schwarzeck,91,Bessel 1841 (Namibia),616,97,-251,,
datum,South American 1969,92,South American 1969,-57,1,-41,,
datum,South Asia,93,Modified Fischer 1960,7,-10,-26,,
datum,Southeast Base,94,International 1924,-499,-249,314,,
datum,Southwest Base,95,International 1924,-104,167,-38,,
datum,Timbalai 1948,96,Everest (India 1830),-689,691,-46,,
datum,Tokyo,97,Bessel 1841,-128,481,664,,
datum,Tristan Astro 1968,98,International 1924,-632,438,-609,,
datum,Viti Levu 1916,99,Clarke 1880,51,391,-36,,
datum,Wake-Eniwetok 1960,100,Hough 1960,101,52,-39,,
datum,WGS 72,103,WGS 72,0,0,5,,
datum,WGS 84,104,WGS 84,0,0,0,"+datum=WGS84",
datum,Yacare,105,International 1924,-155,171,37,,
datum,Zanderij,106,International 1924,-265,120,-358,,

#header,Ellipsoid,Radius (a),1/f (rf),PROJ4 ellps,"comment"
ellps,Airy 1830,6377563.396,299.3249646,"+ellps=airy"
ellps,Australian National,6378160,298.25,"+ellps=aust_SA"
ellps,Bessel 1841,6377397.155,299.1528128,"+ellps=bessel"
ellps,Bessel 1841 (Namibia),6377483.865,299.1528128,"+ellps=bess_nam"
ellps,Bessel 1841 (Norway),6377492.0176,299.1528,
ellps,Clarke 1866,6378206.4,294.9786982,"+ellps=clrk66"
ellps,Clarke 1880,6378249.145,293.465,"+ellps=clrk80"
ellps,Clarke 1880 IGN,6378249.2,293.466021,
ellps,Clarke 1880 Palestine,6378300.789,293.466,
ellps,Everest (1948),6377304.063,300.8017,"+ellps=evrst48"
ellps,Everest (India 1830),6377276.345,300.8017,"+ellps=evrst30"
